geometry,zip,puma,FIPS,tract2010,NCES_ID,ec_high_own_ses_hs,ec_high_parent_ses_hs,volunteering_rate_hs,exposure_parent_ses_hs,exposure_own_ses_hs,ec_own_ses_hs,ec_parent_ses_hs,black,white,hispanic,civic_organizations_zip,frac_coll_plus2016,nonwhite_share2010
"c(-120.2729, 47.4111)",98802,10300,53,53017950700,530231000318,1.28531,1.10892,0.039969999,0.96743,0.90692002,0.83209002,0.91328001,0.01,0.797,0.114,0.01029,0.1627,0.32
"c(-122.2675, 46.8712)",98328,11507,53,53053073200,530237000327,1.23952,1.27187,0.044939999,1.22324,1.0244499,1.0276099,1.2322,0.009,0.873,0.032,0.01328,0.1849,0.1056
"c(-122.239705, 47.833617)",98012,11702,53,53061051927,530240000346,1.5696599,1.09931,0.041609999,1.0171601,1.4424,1.46544,1.04846,0.039,0.711,0.053,0.0065299999,0.4684,0.3386
"c(-122.314, 47.8452)",98037,11701,53,53061051601,530240000352,1.6168801,1.1826299,0.06002,1.13225,1.5534101,1.54127,1.14675,0.03,0.754,0.038,0.0096899997,0.2807,0.3881
"c(-122.2882, 47.8016)",98043,11701,53,53061051300,530240000356,1.60905,1.26899,0.048939999,1.1779,1.53267,1.53294,1.21982,0.03,0.754,0.038,0.0075099999,0.3819,0.3135
"c(-122.3369, 47.806)",98026,11701,53,53061050402,530240002673,1.74612,1.34014,0.064240001,1.25231,1.61878,1.6253099,1.23787,0.03,0.754,0.038,0.0055300002,0.4438,0.2132
"c(-120.5278, 46.9931)",98926,10800,53,53037975402,530246000365,1.30103,1.2507401,0.061050002,1.13859,1.04087,0.97798002,1.13131,0.012,0.791,0.113,0.02124,0.4665,0.1555
"c(-123.413652, 47.003189)",98541,11300,53,53027000500,530249000372,0.94613999,0.92650002,0.048939999,0.84741002,0.72425997,0.71828997000000006,0.83034998,0.002,0.835,0.038,0.014,0.1152,0.172
"c(-119.551678, 47.32591)",98823,10800,53,53025010400,530261000386,1.43485,1.29777,0.03328,1.18606,1.21259,1.17589,1.21295,0.012,0.791,0.113,0.020129999,0.2018,0.2092
"c(-122.2227, 47.9244)",98203,11703,53,53061041202,530267000391,1.43038,0.96417999,0.044530001,0.89131999,1.3341399,1.34003,0.9163,0.03,0.737,0.068,0.0081700003,0.1439,0.3341
"c(-122.2089, 47.8733)",98012,11704,53,53061052004,530267001726,1.69277,1.43803,0.057259999,1.36833,1.59394,1.59424,1.38508,0.015,0.718,0.032,0.0065299999,0.4909,0.2743
"c(-122.526123, 45.636787)",98684,11103,53,53011041319,530270000418,1.32532,1.12449,0.085979998,1.06204,1.08606,1.03253,1.04892,0.012,0.809,0.045,0.0095800003,0.3203,0.2117
"c(-122.5184, 45.6125)",98683,11103,53,53011041323,530270001834,1.49629,1.2447799,0.086039998,1.17452,1.3073601,1.25857,1.1708601,0.012,0.809,0.045,0.0057700002,0.275,0.2389
"c(-122.5378, 45.6797)",98682,11104,53,53011040707,530270002711,1.27413,1.1482,0.095279999,1.08307,1.07179,1.06938,1.07987,0.002,0.906,0.015,0.0047300002,0.1504,0.1673
"c(-122.4682, 45.6246)",98607,11103,53,53011040608,530270003222,1.48522,1.40522,0.074579999,1.34253,1.35097,1.3614399,1.32419,0.012,0.809,0.045,0.01925,0.5566,0.2122
"c(-122.3679, 47.317)",98023,11612,53,53033030305,530282000434,1.5573601,0.97298998,0.062339999,0.88603002,1.41294,1.36213,0.89780003,0.089,0.612,0.071,0.00373,0.271,0.2984
