iter	Passed	Remaining
0	1	1252
1	2	1150
2	4	1365
3	5	1433
4	6	1313
5	8	1458
6	11	1575
7	13	1631
8	15	1715
9	16	1664
10	17	1610
11	18	1549
12	20	1581
13	22	1584
14	24	1588
15	26	1613
16	27	1579
17	29	1604
18	31	1646
19	33	1665
20	38	1777
21	42	1887
22	47	2005
23	49	1995
24	54	2125
25	58	2194
26	67	2433
27	70	2431
28	72	2434
29	75	2437
30	83	2608
31	96	2920
32	102	2997
33	114	3250
34	121	3353
35	126	3386
36	135	3520
37	141	3572
38	151	3736
39	154	3706
40	162	3810
41	165	3766
42	166	3696
43	171	3729
44	181	3844
45	184	3819
46	188	3814
47	192	3815
48	196	3812
49	203	3859
50	212	3950
51	214	3901
52	223	3985
53	225	3948
54	231	3971
55	233	3930
56	234	3887
57	239	3887
58	241	3858
59	251	3937
60	257	3969
61	259	3929
62	264	3933
63	273	3993
64	275	3969
65	278	3941
66	283	3949
67	293	4016
68	295	3986
69	304	4049
70	307	4020
71	311	4013
72	320	4070
73	322	4039
74	329	4069
75	339	4129
76	348	4183
77	351	4159
78	356	4161
79	363	4180
80	364	4136
81	366	4108
82	369	4079
83	370	4044
84	371	4002
85	373	3967
86	375	3935
87	376	3898
88	377	3868
89	380	3847
90	386	3861
91	395	3903
92	401	3912
93	404	3894
94	408	3888
95	411	3876
96	420	3916
97	423	3898
98	430	3919
99	436	3930
100	438	3904
101	443	3907
102	449	3911
103	453	3903
104	455	3886
105	464	3918
106	468	3909
107	478	3950
108	485	3969
109	488	3949
110	497	3986
111	503	3991
112	509	4001
113	515	4002
114	520	4008
115	525	4002
116	528	3991
117	533	3987
118	542	4017
119	548	4022
120	555	4032
121	558	4016
122	563	4020
123	566	4003
124	569	3986
125	576	4002
126	578	3975
127	580	3956
128	583	3937
129	585	3916
130	587	3897
131	593	3905
132	602	3930
133	605	3916
134	611	3919
135	621	3949
136	624	3933
137	634	3963
138	640	3965
139	649	3992
140	652	3977
141	657	3972
142	667	4000
143	669	3978
144	678	3998
145	681	3988
146	683	3964
147	685	3945
148	687	3928
149	689	3907
150	695	3909
151	697	3892
152	699	3869
153	701	3855
154	703	3834
155	705	3818
156	707	3797
157	708	3776
158	710	3756
159	711	3737
160	714	3721
161	715	3701
162	716	3680
163	718	3661
164	719	3640
165	720	3621
166	723	3607
167	729	3612
168	730	3592
169	733	3580
170	735	3567
171	737	3549
172	740	3538
173	741	3521
174	744	3510
175	746	3494
176	748	3478
177	750	3466
178	753	3455
179	756	3446
180	758	3430
181	760	3419
182	763	3408
183	764	3390
184	765	3373
185	766	3355
186	768	3339
187	769	3325
188	772	3314
189	774	3301
190	775	3285
191	777	3272
192	779	3257
193	780	3244
194	783	3235
195	786	3227
196	787	3211
197	790	3201
198	791	3186
199	794	3176
200	796	3167
201	798	3153
202	800	3142
203	802	3129
204	803	3114
205	805	3105
206	808	3097
207	810	3085
208	812	3076
209	815	3066
210	817	3056
211	819	3047
212	821	3036
213	824	3027
214	843	3080
215	846	3070
216	848	3061
217	852	3057
218	853	3044
219	857	3040
220	859	3030
221	863	3024
222	868	3027
223	870	3015
224	872	3006
225	875	2997
226	877	2989
227	881	2983
228	883	2976
229	885	2965
230	887	2956
231	889	2943
232	890	2932
233	893	2923
234	894	2912
235	897	2906
236	899	2896
237	902	2888
238	903	2877
239	905	2865
240	906	2853
241	908	2844
242	910	2836
243	912	2826
244	915	2820
245	917	2812
246	921	2808
247	922	2798
248	924	2789
249	926	2779
250	928	2769
251	931	2764
252	932	2754
253	934	2744
254	935	2734
255	937	2723
256	939	2716
257	942	2709
258	943	2700
259	946	2694
260	948	2684
261	950	2678
262	953	2671
263	955	2664
264	957	2655
265	958	2644
266	960	2637
267	962	2628
268	964	2620
269	966	2613
270	967	2603
271	969	2593
272	970	2584
273	973	2578
274	976	2574
275	979	2568
276	981	2562
277	983	2553
278	984	2544
279	986	2535
280	988	2530
281	990	2521
282	991	2511
283	992	2502
284	995	2497
285	996	2489
286	998	2480
287	1000	2473
288	1001	2464
289	1002	2455
290	1006	2453
291	1009	2447
292	1011	2441
293	1014	2435
294	1017	2430
295	1018	2422
296	1022	2419
297	1025	2414
298	1026	2407
299	1027	2398
300	1029	2391
301	1032	2385
302	1034	2378
303	1037	2374
304	1039	2367
305	1040	2358
306	1041	2350
307	1043	2344
308	1046	2340
309	1049	2335
310	1052	2332
311	1056	2329
312	1059	2324
313	1060	2316
314	1063	2312
315	1064	2304
316	1066	2297
317	1069	2293
318	1071	2288
319	1073	2281
320	1075	2274
321	1076	2266
322	1078	2260
323	1080	2255
324	1082	2248
325	1085	2244
326	1088	2239
327	1090	2234
328	1092	2227
329	1094	2222
330	1095	2215
331	1098	2211
332	1102	2208
333	1104	2202
334	1107	2198
335	1110	2193
336	1112	2188
337	1113	2181
338	1116	2176
339	1118	2171
340	1121	2167
341	1123	2161
342	1126	2157
343	1129	2153
344	1133	2151
345	1135	2146
346	1138	2142
347	1141	2138
348	1142	2131
349	1145	2127
350	1147	2121
351	1149	2116
352	1150	2109
353	1152	2102
354	1153	2096
355	1155	2090
356	1157	2085
357	1159	2078
358	1160	2072
359	1162	2066
360	1165	2062
361	1166	2056
362	1168	2050
363	1170	2045
364	1172	2039
365	1173	2033
366	1176	2028
367	1177	2022
368	1179	2017
369	1182	2013
370	1183	2006
371	1186	2003
372	1189	1999
373	1191	1994
374	1194	1990
375	1197	1986
376	1199	1981
377	1201	1976
378	1202	1970
379	1205	1966
380	1207	1962
381	1209	1956
382	1211	1950
383	1213	1946
384	1214	1940
385	1217	1936
386	1218	1930
387	1221	1926
388	1222	1920
389	1224	1915
390	1226	1910
391	1228	1905
392	1229	1899
393	1230	1893
394	1233	1889
395	1235	1884
396	1237	1879
397	1239	1874
398	1242	1870
399	1244	1866
400	1245	1861
401	1247	1855
402	1249	1850
403	1251	1846
404	1253	1841
405	1256	1837
406	1257	1832
407	1259	1828
408	1262	1824
409	1264	1819
410	1265	1814
411	1268	1810
412	1270	1805
413	1272	1800
414	1273	1795
415	1275	1790
416	1277	1785
417	1278	1780
418	1280	1776
419	1283	1772
420	1284	1766
421	1286	1761
422	1287	1756
423	1290	1752
424	1291	1747
425	1294	1744
426	1298	1742
427	1301	1739
428	1305	1737
429	1306	1732
430	1309	1728
431	1311	1724
432	1314	1721
433	1315	1715
434	1318	1711
435	1320	1708
436	1322	1703
437	1324	1699
438	1326	1695
439	1330	1692
440	1332	1689
441	1334	1685
442	1340	1684
443	1343	1682
444	1344	1677
445	1347	1673
446	1351	1671
447	1354	1668
448	1358	1666
449	1361	1663
450	1363	1659
451	1365	1655
452	1366	1650
453	1368	1645
454	1370	1641
455	1372	1637
456	1375	1633
457	1376	1629
458	1378	1625
459	1381	1621
460	1384	1619
461	1387	1616
462	1388	1610
463	1391	1607
464	1394	1604
465	1396	1600
466	1398	1595
467	1400	1592
468	1404	1590
469	1406	1585
470	1409	1582
471	1410	1578
472	1413	1575
473	1417	1572
474	1419	1569
475	1423	1567
476	1425	1563
477	1427	1558
478	1430	1556
479	1434	1554
480	1436	1549
481	1437	1545
482	1440	1541
483	1443	1538
484	1447	1537
485	1450	1533
486	1452	1530
487	1454	1525
488	1456	1522
489	1459	1519
490	1461	1514
491	1465	1513
492	1467	1509
493	1470	1505
494	1471	1501
495	1472	1496
496	1475	1492
497	1476	1488
498	1479	1485
499	1481	1481
500	1484	1478
501	1487	1475
502	1488	1470
503	1490	1466
504	1492	1462
505	1493	1458
506	1496	1454
507	1499	1451
508	1500	1447
509	1502	1443
510	1504	1439
511	1506	1436
512	1510	1433
513	1512	1430
514	1513	1425
515	1515	1421
516	1516	1416
517	1517	1412
518	1519	1408
519	1522	1405
520	1525	1402
521	1528	1400
522	1530	1395
523	1533	1392
524	1536	1389
525	1537	1385
526	1538	1380
527	1541	1377
528	1546	1376
529	1548	1372
530	1552	1371
531	1553	1366
532	1557	1364
533	1559	1360
534	1560	1356
535	1563	1353
536	1566	1350
537	1568	1346
538	1570	1342
539	1571	1339
540	1577	1338
541	1580	1335
542	1582	1331
543	1586	1329
544	1590	1328
545	1594	1326
546	1599	1324
547	1605	1324
548	1607	1320
549	1611	1318
550	1613	1314
551	1614	1310
552	1615	1305
553	1617	1302
554	1622	1300
555	1625	1298
556	1626	1293
557	1629	1290
558	1631	1287
559	1633	1283
560	1636	1280
561	1639	1277
562	1642	1275
563	1645	1271
564	1647	1268
565	1649	1265
566	1653	1262
567	1655	1259
568	1657	1255
569	1659	1251
570	1660	1247
571	1663	1244
572	1665	1241
573	1669	1239
574	1671	1235
575	1672	1231
576	1674	1227
577	1677	1224
578	1679	1221
579	1681	1217
580	1684	1214
581	1685	1210
582	1687	1206
583	1689	1203
584	1691	1200
585	1693	1196
586	1695	1192
587	1696	1188
588	1698	1185
589	1700	1181
590	1703	1178
591	1705	1175
592	1709	1173
593	1714	1171
594	1716	1168
595	1719	1165
596	1722	1162
597	1724	1159
598	1728	1157
599	1738	1159
600	1743	1157
601	1747	1155
602	1748	1151
603	1749	1147
604	1751	1143
605	1752	1139
606	1754	1136
607	1756	1132
608	1759	1129
609	1761	1126
610	1764	1123
611	1765	1119
612	1768	1116
613	1770	1112
614	1773	1110
615	1775	1106
616	1777	1103
617	1780	1100
618	1784	1098
619	1786	1094
620	1789	1091
621	1790	1088
622	1793	1085
623	1796	1082
624	1798	1078
625	1799	1075
626	1801	1071
627	1804	1068
628	1805	1065
629	1807	1061
630	1811	1059
631	1813	1055
632	1815	1052
633	1818	1049
634	1822	1047
635	1828	1046
636	1831	1043
637	1833	1040
638	1835	1036
639	1836	1033
640	1838	1029
641	1839	1025
642	1841	1022
643	1844	1019
644	1846	1016
645	1847	1012
646	1849	1009
647	1851	1005
648	1854	1002
649	1859	1001
650	1865	1000
651	1869	997
652	1873	995
653	1875	992
654	1877	989
655	1880	986
656	1881	982
657	1884	979
658	1887	976
659	1894	976
660	1896	972
661	1898	969
662	1899	965
663	1901	962
664	1903	958
665	1908	957
666	1910	954
667	1912	950
668	1914	947
669	1917	944
670	1920	941
671	1924	939
672	1926	935
673	1929	933
674	1930	929
675	1933	926
