iter	RMSE
0	1049.197066
1	1048.156998
2	1047.11594
3	1046.0772
4	1045.040345
5	1044.003123
6	1042.967552
7	1041.931461
8	1040.897979
9	1039.86563
10	1038.8348
11	1037.805223
12	1036.775636
13	1035.746059
14	1034.717223
15	1033.688443
16	1032.664031
17	1031.639185
18	1030.615511
19	1029.591305
20	1028.569521
21	1027.5475
22	1026.52846
23	1025.509784
24	1024.492409
25	1023.477112
26	1022.461463
27	1021.448316
28	1020.436192
29	1019.425089
30	1018.414333
31	1017.404399
32	1016.396295
33	1015.388742
34	1014.38108
35	1013.373777
36	1012.369866
37	1011.366867
38	1010.362882
39	1009.361905
40	1008.359293
41	1007.358929
42	1006.360968
43	1005.364297
44	1004.366325
45	1003.368853
46	1002.374837
47	1001.380245
48	1000.388369
49	999.3957981
50	998.4043126
51	997.4153554
52	996.426166
53	995.4371468
54	994.4495903
55	993.464606
56	992.4806159
57	991.4973751
58	990.5134093
59	989.5307166
60	988.5483249
61	987.5692777
62	986.5888236
63	985.61054
64	984.6344461
65	983.6593375
66	982.6817709
67	981.7063268
68	980.7341567
69	979.7599501
70	978.7871972
71	977.8166169
72	976.8473566
73	975.8800672
74	974.9129445
75	973.9460131
76	972.9787911
77	972.0153834
78	971.052882
79	970.0889496
80	969.1284523
81	968.1678184
82	967.2091583
83	966.249212
84	965.2925795
85	964.3359852
86	963.3812821
87	962.4268189
88	961.4740419
89	960.5189959
90	959.5664964
91	958.6144537
92	957.6635784
93	956.7155807
94	955.7673572
95	954.8181481
96	953.8716817
97	952.9274958
98	951.982681
99	951.03814
100	950.0959793
101	949.1532163
102	948.2114226
103	947.2728527
104	946.335314
105	945.3965477
106	944.4580055
107	943.5211677
108	942.5852537
109	941.6507423
110	940.7163881
111	939.7825433
112	938.851064
113	937.9203333
114	936.9898803
115	936.0588888
116	935.1308878
117	934.2030185
118	933.2775673
119	932.3536696
120	931.4281716
121	930.5065229
122	929.5836087
123	928.6638169
124	927.7449545
125	926.8243575
126	925.9044944
127	924.9873569
128	924.0703257
129	923.1532469
130	922.2382305
131	921.3249517
132	920.4118049
133	919.5012208
134	918.5899591
135	917.6801238
136	916.7722895
137	915.8647578
138	914.9560731
139	914.047906
140	913.1437223
141	912.2378026
142	911.3330142
143	910.4315575
144	909.5295602
145	908.6283421
146	907.7269827
147	906.8261429
148	905.9257368
149	905.0290947
150	904.1329971
151	903.2357304
152	902.3424091
153	901.4492793
154	900.5548875
155	899.6621037
156	898.7723761
157	897.8814507
158	896.9935186
159	896.1047754
160	895.2170264
161	894.3317757
162	893.4474199
163	892.56112
164	891.6785479
165	890.7944718
166	889.9105447
167	889.0275907
168	888.1485688
169	887.2669832
170	886.3871762
171	885.5106783
172	884.6344039
173	883.7587304
174	882.8827319
175	882.007164
176	881.1351944
177	880.261441
178	879.3886725
179	878.5175668
180	877.6457823
181	876.7762701
182	875.9077597
183	875.0419179
184	874.1769517
185	873.3128603
186	872.4466773
187	871.5834781
188	870.7205874
189	869.8578847
190	868.9963976
191	868.1355162
192	867.2776993
193	866.4184126
194	865.5605359
195	864.7029875
196	863.8457444
197	862.9898558
198	862.1370173
199	861.2825878
200	860.4286561
201	859.578391
202	858.7288682
203	857.8803214
204	857.0326332
205	856.1843234
206	855.3364848
207	854.4891139
208	853.6431944
209	852.7969921
210	851.9522286
211	851.107816
212	850.2644634
213	849.4212446
214	848.5800988
215	847.7382929
216	846.9007894
217	846.0623133
218	845.2262453
219	844.3893958
220	843.5543605
221	842.7186845
222	841.8835118
223	841.051898
224	840.2197551
225	839.3877957
226	838.5553761
