iter	Passed	Remaining
0	1	1664
1	2	1399
2	4	1647
3	6	1688
4	7	1587
5	10	1743
6	13	1914
7	16	1986
8	18	2058
9	20	1992
10	21	1935
11	22	1857
12	24	1896
13	26	1882
14	28	1872
15	30	1903
16	32	1862
17	34	1889
18	37	1920
19	39	1927
20	41	1950
21	44	1960
22	46	1954
23	48	1958
24	50	1955
25	51	1933
26	54	1947
27	55	1919
28	56	1888
29	57	1861
30	60	1878
31	62	1898
32	64	1888
33	66	1903
34	68	1890
35	69	1871
36	71	1870
37	73	1858
38	76	1877
39	77	1858
40	80	1873
41	83	1895
42	84	1876
43	86	1871
44	88	1882
45	90	1868
46	91	1860
47	93	1851
48	94	1839
49	97	1845
50	99	1858
51	101	1844
52	103	1852
53	106	1862
54	108	1868
55	109	1852
56	111	1836
57	112	1826
58	113	1817
59	116	1828
60	118	1831
61	120	1816
62	121	1809
63	124	1822
64	125	1811
65	127	1797
66	129	1802
67	131	1807
68	133	1795
69	135	1799
70	136	1792
71	139	1791
72	141	1801
73	143	1789
74	145	1795
75	148	1803
76	151	1812
77	152	1801
78	154	1797
79	155	1793
80	157	1783
81	159	1788
82	161	1788
83	163	1781
84	164	1771
85	166	1766
86	168	1767
87	170	1766
88	171	1756
89	173	1757
90	176	1767
91	179	1774
92	182	1778
93	183	1771
94	185	1765
95	187	1766
96	190	1770
97	191	1761
98	194	1767
99	196	1767
100	198	1765
101	200	1765
102	203	1772
103	205	1772
104	207	1768
105	209	1768
106	211	1765
107	213	1766
108	215	1765
109	218	1767
110	220	1769
111	222	1763
112	224	1764
113	227	1767
114	229	1763
115	230	1758
116	232	1757
117	236	1764
118	238	1769
119	241	1769
120	243	1768
121	244	1762
122	247	1764
123	248	1758
124	249	1749
125	251	1745
126	253	1740
127	255	1743
128	259	1748
129	261	1749
130	264	1752
131	266	1752
132	269	1755
133	270	1750
134	273	1752
135	276	1754
136	277	1748
137	280	1750
138	282	1748
139	284	1748
140	286	1744
141	288	1744
142	291	1746
143	292	1739
144	294	1739
145	297	1740
146	299	1735
147	302	1738
148	304	1738
149	306	1735
150	308	1734
151	310	1732
152	312	1727
153	314	1727
154	316	1723
155	319	1726
156	320	1719
157	322	1717
158	323	1710
159	324	1705
160	327	1706
161	328	1701
162	330	1694
163	331	1690
164	332	1683
165	334	1679
166	336	1676
167	338	1677
168	340	1672
169	343	1678
170	346	1678
171	347	1674
172	350	1675
173	352	1671
174	354	1672
175	356	1669
176	358	1665
177	361	1669
178	364	1671
179	367	1674
180	369	1670
181	371	1669
182	375	1677
183	377	1672
184	378	1666
185	379	1660
186	380	1655
187	382	1652
188	385	1652
189	386	1649
190	388	1646
191	390	1644
192	392	1640
193	394	1639
194	397	1640
195	400	1641
196	401	1637
197	404	1637
198	405	1633
199	408	1633
200	410	1633
201	412	1628
202	414	1626
203	415	1620
204	416	1615
205	419	1615
206	422	1617
207	424	1615
208	426	1615
209	428	1613
210	430	1611
211	432	1608
212	435	1608
213	439	1615
214	442	1616
215	444	1614
216	445	1608
217	448	1607
218	449	1604
219	452	1605
220	454	1602
221	457	1601
222	459	1599
223	460	1595
224	462	1594
225	465	1594
226	468	1593
227	470	1593
228	472	1590
229	473	1586
230	476	1584
231	477	1579
232	479	1577
233	481	1576
234	482	1571
235	485	1571
236	487	1567
237	489	1566
238	490	1562
239	492	1559
240	493	1555
241	495	1553
242	498	1553
243	500	1551
244	502	1549
245	504	1545
246	507	1545
247	508	1541
248	509	1536
249	510	1531
250	511	1527
251	514	1526
252	516	1523
253	517	1520
254	519	1516
255	520	1512
256	523	1513
257	526	1513
258	528	1510
259	530	1511
260	532	1506
261	534	1506
262	537	1506
263	540	1506
264	542	1504
265	543	1500
266	546	1499
267	548	1497
268	550	1495
269	553	1495
270	554	1491
271	555	1488
272	557	1485
