NCES_ID,longitude,latitude
010000500870,-86.2062,34.2602
010000500871,-86.2049,34.2622
010000500879,-86.2201,34.2733
010000500889,-86.221806,34.2527
010000501616,-86.1933,34.2898
010000502150,-86.2218,34.2533
010000600193,-86.254153,34.53375
010000600872,-86.142,34.3625
010000600876,-86.2704,34.4069
010000600877,-86.321259,34.176234
010000600878,-86.319462,34.178658
010000600880,-86.4421,34.3445
010000600883,-86.254153,34.53375
010000600887,-86.422446,34.377151
010000600986,-86.2704,34.4069
010000600987,-86.2859,34.3054
010000601413,-86.322507,34.176774
010000601585,-86.4219,34.3764
010000601685,-86.254153,34.53375
010000601812,-86.320895,34.177536
010000602209,-86.141422,34.362734
010000700091,-86.8447,33.3409
010000700248,-86.6585,33.413
010000700251,-86.8377,33.3444
010000700337,-86.7322,33.3956
010000700342,-86.8784,33.3375
010000701422,-86.854796,33.330923
010000701456,-86.7288,33.3927
010000701483,-86.8674,33.3639
010000701738,-86.8538,33.4096
010000701739,-86.8088,33.3957
010000701740,-86.8312,33.3882
010000701741,-86.8337,33.3879
010000701742,-86.7668,33.4091
010000701743,-86.824614,33.426608
010000702091,-86.8129,33.3596
010000702186,-86.88919,33.344122
010000702359,-86.840932,33.337604
010000702487,-86.80969,33.34668
010000800303,-86.7137,34.7058
010000800495,-86.7427,34.7408
010000800831,-86.7425,34.7192
010000800839,-86.7505,34.6975
010000800851,-86.749524,34.709961
010000801423,-86.7832,34.7211
010000801485,-86.7331,34.7512
010000801798,-86.7792,34.7337
010000802097,-86.766,34.7343
010000802133,-86.772013,34.701186
010000802198,-86.791802,34.705886
010000802522,-86.747416,34.686038
010000901403,-86.098534,33.43196
010000901404,-86.089689,33.433574
010000901405,-86.117477,33.427279
010000901406,-86.117706,33.42544
010000902231,-86.590455,34.722432
010001102094,-86.5481,33.5452
010001102095,-86.536894,33.54936
010001102096,-86.574182,33.547574
010001102430,-86.560964,33.545099
010001200123,-86.161369,34.213512
010001200874,-86.1639,34.2118
010001200884,-86.1755,34.2048
010001201630,-86.157931,34.212254
010001201781,-86.1781,34.2065
010001300714,-86.593651,33.655829
010001301498,-86.567607,33.649323
010001301682,-86.590765,33.665684
010001302401,-86.623626,33.599544
010001302402,-86.603955,33.629258
010003000001,-85.9488,32.9451
010003000003,-85.9508,32.9377
010003000004,-85.9307,32.9312
010003000005,-85.949,32.9555
010003000006,-85.9726,32.9295
010006000007,-86.4708,31.3154
010006000008,-86.470935,31.314977
010006001467,-86.5025,31.2846
010009000011,-85.82,33.6612
010009000017,-85.7758,33.6321
010009000020,-85.8591,33.6656
010009000021,-85.8086,33.6581
010009001246,-85.822863,33.708165
010009001725,-85.822863,33.708165
010009001782,-85.8417,33.6617
010010000022,-86.4943,34.3293
010010000025,-86.4966,34.3349
010010000027,-86.5105,34.3124
010010000028,-86.48857,34.329247
010012000522,-86.9967,34.7934
010012001471,-86.967922,34.795787
010012001472,-86.949822,34.812486
010012001473,-86.949838,34.803346
010012001474,-86.9934,34.8043
010012001475,-86.9626,34.7993
010012001758,-86.9629,34.7819
010012002417,-86.964919,34.800179
010017602108,-86.332274,33.364683
010017602109,-86.337457,32.577049
010017602110,-86.193789,32.564214
010017602111,-87.184745,33.51396
010017602460,-86.391816,32.582667
010017602465,-86.101496,32.387976
010017602466,-86.333054,32.577164
010017602467,-86.391869,32.581384
010018000033,-86.1109,33.996
010018000034,-86.112782,33.995704
010018000035,-86.126219,33.998734
010018500893,-88.065367,30.8313
010018500952,-88.078798,30.810124
010018502137,-88.100153,30.796015
010018502427,-88.127677,30.862549
010018802193,-88.082215,30.761258
010018802194,-88.078474,30.757103
010018802428,-88.078474,30.757103
010018802514,-88.078474,30.757103
010018902195,-88.0569,30.8471
010018902196,-88.067,30.8466
010019001182,-86.838466,33.216548
010019001183,-86.845962,33.222102
010019001184,-86.833045,33.220563
010019001460,-86.808574,33.17642
010019001815,-86.864943,33.225792
010019402395,-86.789469,33.309908
010019402396,-86.78671,33.275334
010019402398,-86.808097,33.30662
010019402399,-86.82121,33.312895
010019502407,-86.028178,32.338392
010019502424,-86.103225,32.285484
010019502441,-86.102682,32.355003
010019502498,-86.102682,32.355003
010019702432,-88.138607,30.672421
010019702527,-88.138607,30.672421
010019902452,-88.189067,32.586288
010019902557,-88.189756,32.595845
010020102472,-86.872386,33.553991
010020202469,-87.680179999999993,30.26906
010020202471,-87.679015,30.269072
010020202473,-87.675805,30.269146
010020302470,-86.223619,32.341405
010020302516,-86.223619,32.341405
010020402476,-86.763339,33.537508
010020402510,-86.726303,33.564945
010020702502,-86.328259,32.352192
010020802503,-87.335131,32.607571
010021000036,-85.446081,32.603878
010021000037,-85.463119,32.596469
010021000039,-85.4847,32.6209
010021000040,-85.464089,32.600491
010021000041,-85.494187,32.617921
010021000042,-85.472,32.59
010021000053,-85.469055,32.58567
010021001254,-85.4566,32.564
010021001259,-85.5065,32.6404
010021001879,-85.513374,32.619649
010021002363,-85.47833,32.633511
010021002440,-85.476613,32.598241
010021002454,-85.518203,32.623718
010021002521,-85.509773,32.659018
010021102505,-86.829899,33.470676
010021302528,-86.956911,33.397344
010024000045,-86.700747,32.663571
010024000046,-86.481999,32.619027
010024000047,-86.4555,32.4547
010024000048,-86.4716,32.5005
010024000049,-86.4706,32.4849
010024000050,-86.4516,32.4542
010024000051,-86.468757,32.463142
010024000543,-86.463052,32.590089999999996
010024000546,-86.4222,32.4522
010024000587,-86.454282,32.455059
010024000590,-86.473537,32.500629000000004
010024001408,-86.659977,32.433931
010024001550,-86.421643,32.448195
010024001639,-86.4662,32.4574
010024002159,-86.474055,32.700293
010027000013,-87.8701,30.6173
010027000024,-87.706485,30.540413
010027000056,-87.902029,30.592614
