iter	RMSE
0	1049.862401
1	1048.82163
2	1047.779918
3	1046.7405
4	1045.702945
5	1044.665713
6	1043.629448
7	1042.592697
8	1041.558533
9	1040.525533
10	1039.494006
11	1038.463734
12	1037.433498
13	1036.403294
14	1035.373809
15	1034.344373
16	1033.319269
17	1032.293755
18	1031.26941
19	1030.244559
20	1029.222108
21	1028.199426
22	1027.179702
23	1026.160387
24	1025.142322
25	1024.126343
26	1023.110034
27	1022.096203
28	1021.083395
29	1020.071609
30	1019.060173
31	1018.049479
32	1017.040709
33	1016.032474
34	1015.024111
35	1014.016144
36	1013.011581
37	1012.007937
38	1011.003294
39	1010.00164
40	1008.998399
41	1007.997432
42	1006.998796
43	1006.001489
44	1005.002878
45	1004.004723
46	1003.010051
47	1002.014769
48	1001.022221
49	1000.028978
50	999.0368642
51	998.0472383
52	997.0574155
53	996.0677142
54	995.0794948
55	994.0938444
56	993.1091888
57	992.125292
58	991.1406503
59	990.1573111
60	989.1742795
61	988.1945699
62	987.2134469
63	986.234531
64	985.2577767
65	984.2820084
66	983.3038096
67	982.3277016
68	981.3548736
69	980.3800915
70	979.406695
71	978.4354597
72	977.4655631
73	976.4976191
74	975.5298727
75	974.5623416
76	973.5945362
77	972.6304763
78	971.6673479
79	970.7027905
80	969.7416429
81	968.7803842
82	967.8210777
83	966.8605014
84	965.9032212
85	964.9459898
86	963.9906401
87	963.0354942
88	962.0820719
89	961.1264021
90	960.1733049
91	959.220605
92	958.2691265
93	957.3204867
94	956.3716658
95	955.4218203
96	954.4747591
97	953.5299336
98	952.5845068
99	951.6393439
100	950.6965622
101	949.7531647
102	948.8107653
103	947.8715675
104	946.9333975
105	945.9940297
106	945.0548638
107	944.1174161
108	943.1814368
109	942.2463442
110	941.3113768
111	940.3769572
112	939.4449157
113	938.5136517
114	937.5826384
115	936.6510229
116	935.7224214
117	934.7939467
118	933.8678579
119	932.9433725
120	932.0172746
121	931.0950023
122	930.1714812
123	929.2510669
124	928.3315825
125	927.4103334
126	926.4898464
127	925.5720794
128	924.6546244
129	923.7369552
130	922.821334
131	921.907426
132	920.9937451
133	920.0825445
134	919.170668
135	918.2603319
136	917.3518829
137	916.4437764
138	915.5345036
139	914.6257469
140	913.7209509
141	912.814437
142	911.9090669
143	911.0069996
144	910.1044226
145	909.2026112
146	908.3006662
147	907.3992214
148	906.4982296
149	905.6009453
150	904.704257
151	903.8068928
152	902.9129666
153	902.0192619
154	901.124281
155	900.2309445
156	899.3406145
157	898.4491024
158	897.5605691
159	896.6712153
160	895.7828387
161	894.8969884
162	894.0120335
163	893.1251364
164	892.2419664
165	891.3573016
166	890.4727839
167	889.589249
168	888.7096314
169	887.8275012
170	886.9471122
171	886.0700542
172	885.1931699
173	884.3169101
174	883.4403361
175	882.5642329
176	881.691672
177	880.8173632
178	879.9439608
179	879.0722626
180	878.1998412
181	877.3297903
182	876.4606952
183	875.5942665
184	874.7287139
185	873.8640366
186	872.9972826
187	872.1335513
188	871.2700885
189	870.4068712
190	869.5448277
191	868.6833663
192	867.8249613
193	866.965169
194	866.1066728
195	865.2485688
196	864.3907877
197	863.5343449
198	862.680928
199	861.8259579
200	860.9715003
201	860.1206584
202	859.2706177
203	858.4214952
204	857.5732316
205	856.7244086
206	855.8760198
207	855.0281257
208	854.1816651
209	853.3349439
210	852.4896518
211	851.6447198
212	850.8007884
213	849.9570468
214	849.1153685
215	848.2729798
216	847.4349078
217	846.5958077
218	845.7591813
219	844.9217892
220	844.086232
221	843.250026
222	842.414287
223	841.5821087
224	840.7494195
225	839.9168994
226	839.0839472
227	838.2527833
228	837.4211607
229	836.5938121
230	835.7678527
231	834.9423615
232	834.1155787
233	833.2884499
234	832.4654531
235	831.6402851
236	830.8161255
237	829.9952713
238	829.1755896
239	828.3554144
240	827.5373899
241	826.7176703
242	825.8990402
243	825.0834865
244	824.2665746
245	823.4498123
246	822.633965
247	821.8216962
248	821.0102497
249	820.1996247
250	819.3877661
251	818.5765867
252	817.7648308
253	816.9563411
254	816.1497986
255	815.3440729
256	814.5371833
257	813.7313512
258	812.924563
259	812.1193271
260	811.3176367
261	810.5144819
262	809.7117602
263	808.9112171
264	808.109886
265	807.3122385
266	806.5127944
267	805.7168434
268	804.9194672
269	804.1216374
270	803.3280071
271	802.5349776
272	801.7410603
273	800.9471503
274	800.1546086
275	799.3636081
276	798.571689
277	797.7836417
278	796.9963926
279	796.2099007
280	795.4215966
281	794.6365893
282	793.8525196
283	793.0661637
284	792.2816555
285	791.4999577
286	790.7189511
287	789.9360817
288	789.1567521
289	788.3782121
290	787.5968781
291	786.8171827
292	786.0381371
293	785.2601716
294	784.4840209
295	783.7068549
296	782.9309952
297	782.1571595
298	781.3848829
299	780.6141561
300	779.8408119
301	779.0692138
302	778.3004045
303	777.5300602
304	776.7632149
305	775.9971469
306	775.2318552
307	774.4646525
308	773.6982684
309	772.9333186
310	772.1673841
311	771.4030988
312	770.6396777
313	769.879771
314	769.1174623
315	768.3591663
316	767.5979875
317	766.838543
318	766.0794163
319	765.3238695
320	764.5663912
321	763.8126038
322	763.056077
323	762.3007463
324	761.5492398
325	760.7964597
326	760.0434184
327	759.2911555
328	758.5426771
329	757.7932403
330	757.0462754
331	756.2972707
332	755.5519917
333	754.8043785
334	754.0576665
335	753.3120215
336	752.5671054
337	751.8237045
338	751.0797014
339	750.3357477
340	749.5938395
341	748.8526075
342	748.1146369
343	747.3774428
344	746.6382316
345	745.9004132
346	745.1620992
347	744.427897
348	743.6943892
349	742.9600342
350	742.2274185
351	741.4950304
352	740.7616111
353	740.0318062
354	739.3021617
355	738.5696251
356	737.8420806
357	737.1151884
358	736.3874152
359	735.6620333
360	734.9350318
361	734.2111911
362	733.4854
363	732.7604443
364	732.0357522
365	731.3145104
366	730.5906969
367	729.8711587
368	729.1513842
369	728.4308694
370	727.7135095
371	726.9946294
372	726.2759204
373	725.5607572
374	724.8430411
375	724.1266683
376	723.4108307
377	722.6968717
378	721.9852865
379	721.2720651
380	720.5581001
381	719.8456565
382	719.1363181
383	718.425807
384	717.717173
385	717.0088905
386	716.3022413
387	715.5957121
388	714.88881
389	714.183806
390	713.4808062
391	712.7785202
392	712.0769585
393	711.376098
394	710.6730113
395	709.9735682
396	709.2718524
397	708.5719431
398	707.8733989
399	707.1737363
400	706.4775302
401	705.7786507
402	705.0827566
403	704.385113
404	703.689803
405	702.9955634
406	702.3035725
407	701.6125471
408	700.9186768
409	700.2268581
410	699.5350658
411	698.8446013
412	698.1534021
413	697.4638031
414	696.774636
415	696.0892031
416	695.4016008
417	694.7154843
418	694.0291473
419	693.3441017
420	692.6621296
421	691.9781189
422	691.294336
423	690.6111463
424	689.9277354
425	689.2473162
426	688.5666196
427	687.8857969
428	687.2063724
429	686.5305754
430	685.8518634
431	685.1758094
432	684.4990356
433	683.8259689
434	683.1514553
435	682.4772208
436	681.803044
437	681.1290416
438	680.4559852
439	679.783735
440	679.112398
441	678.441127
442	677.7714003
443	677.1014588
444	676.4358376
445	675.7679104
446	675.099705
447	674.4334313
