iter	Passed	Remaining
0	2	2483
1	3	1869
2	5	1971
3	7	1926
4	8	1745
5	11	1824
6	14	2030
7	16	2085
8	19	2139
9	20	2067
10	22	2002
11	23	1935
12	26	1975
13	28	1997
14	30	1991
15	32	2012
16	34	1987
17	40	2202
18	44	2293
19	46	2302
20	51	2390
21	53	2382
22	55	2363
23	58	2385
24	60	2348
25	61	2306
26	64	2316
27	65	2274
28	66	2227
29	68	2202
30	71	2220
31	73	2234
32	75	2203
33	77	2211
34	79	2196
35	80	2168
36	83	2165
37	84	2148
38	87	2158
39	88	2129
40	90	2123
41	93	2127
42	95	2115
43	97	2113
44	100	2142
45	105	2194
46	107	2186
47	109	2173
48	110	2153
49	113	2163
50	118	2210
51	121	2212
52	124	2228
53	129	2262
54	131	2254
55	132	2228
56	133	2205
57	134	2186
58	135	2167
59	138	2167
60	140	2162
61	141	2141
62	143	2128
63	145	2132
64	146	2114
65	148	2095
66	150	2094
67	152	2094
68	154	2079
69	156	2077
70	157	2065
71	159	2052
72	161	2051
73	162	2036
74	165	2043
75	168	2048
76	171	2053
77	172	2041
78	174	2036
79	176	2028
80	177	2017
81	180	2018
82	182	2014
83	183	2003
84	184	1989
85	186	1980
86	187	1968
87	189	1960
88	190	1952
89	192	1950
90	195	1953
91	198	1956
92	200	1959
93	202	1952
94	204	1949
95	207	1950
96	210	1962
97	212	1952
98	214	1952
99	216	1949
100	220	1963
101	222	1957
102	224	1952
103	225	1945
104	227	1936
105	229	1935
106	232	1936
107	236	1953
108	241	1976
109	244	1978
110	247	1985
111	250	1985
112	254	1999
113	257	2004
114	259	1997
115	261	1989
116	263	1987
117	265	1982
118	267	1983
119	269	1977
120	271	1974
121	272	1964
122	275	1963
123	276	1956
124	278	1946
125	280	1942
126	281	1934
127	284	1937
128	287	1938
129	289	1940
130	293	1948
131	296	1947
132	298	1947
133	300	1939
134	302	1938
135	305	1940
136	307	1935
137	310	1939
138	312	1937
139	315	1940
140	317	1931
141	319	1931
142	323	1939
143	324	1930
144	327	1929
145	329	1927
146	331	1924
147	334	1926
148	337	1929
149	339	1925
150	341	1921
151	343	1917
152	344	1908
153	349	1917
154	350	1911
155	353	1910
156	354	1901
157	355	1894
158	356	1886
159	358	1880
160	360	1878
161	361	1870
162	362	1863
163	364	1860
164	366	1852
165	367	1846
166	369	1842
167	371	1841
168	372	1833
169	375	1832
170	377	1829
171	379	1826
172	383	1832
173	386	1833
174	390	1840
175	392	1835
176	394	1833
177	397	1833
