Feature Id,Importances
volunteering_rate_hs,12.152339657463743
exposure_parent_ses_hs,11.382569474040428
ec_high_own_ses_hs,9.965342625015786
nonwhite_share2010,9.895499387207721
ec_high_parent_ses_hs,9.497904688976174
black,7.993625809550693
exposure_own_ses_hs,7.0380749519229555
frac_coll_plus2016,6.867040054838842
hispanic,6.697191255778557
ec_parent_ses_hs,6.5245014519544275
civic_organizations_zip,6.473277439963663
white,5.512633203287009
