,geometry,zip,puma,FIPS,tract2010,NCES_ID,ec_high_own_ses_hs,ec_high_parent_ses_hs,volunteering_rate_hs,exposure_parent_ses_hs,exposure_own_ses_hs,ec_own_ses_hs,ec_parent_ses_hs,black,white,hispanic,civic_organizations_zip,frac_coll_plus2016,nonwhite_share2010,SAT_Total,SAT_Math,SAT_ERW
696,"c(-117.721426, 34.112595)",91711,3711.0,6,6037401800.0,60876000887,1.72042,1.50526,0.065619998,1.4218301,1.54141,1.44903,1.40924,0.045,0.607,0.202,0.04239,0.5955,0.3988,1178.241970645098,584.6387299091665,598.0999109017562
697,"c(-123.022709, 38.810638)",95425,9701.0,6,6097154202.0,60897000899,1.25043,1.30804,0.025450001,1.15701,1.10511,1.1030999,1.19463,0.004,0.828,0.099,0.0186,0.2637,0.2848,1021.7649346080647,505.72275252148,526.0875025302439
698,"c(-119.713988, 36.85864)",93619,1906.0,6,6019005524.0,60903000367,1.6754301,1.70608,0.042300001,1.61762,1.50574,1.4531699,1.55002,0.018,0.673,0.143,0.00112,0.5836,0.3441,1177.1193782500222,581.1555627066376,568.7916945143093
699,"c(-119.679399, 36.81815)",93611,1906.0,6,6019005703.0,60903000904,1.48139,1.49151,0.055130001,1.41229,1.28834,1.2206,1.36037,0.018,0.673,0.143,0.01333,0.3666,0.323,1124.436154914467,547.2801804412134,554.0485848435013
700,"c(-119.763227, 36.860857)",93720,1902.0,6,6019005507.0,60903000906,1.64616,1.59408,0.044840001,1.48202,1.40811,1.21771,1.41409,0.031,0.634,0.175,0.0090899998,0.4902,0.4039,1149.0831830832374,567.7815505769058,564.1849442995547
701,"c(-119.640021, 36.799447)",93619,1906.0,6,6019005911.0,60903007959,1.33318,1.37472,0.03435,1.22147,1.07733,1.03811,1.16706,0.018,0.673,0.143,0.00112,0.388,0.4705,1066.5961400199415,527.032373634768,523.7855845427188
702,"c(-119.733503, 36.89071)",93730,1902.0,6,6019005504.0,60903011855,1.70347,1.6553,0.042459998,1.622,1.59814,1.6244,1.60982,0.031,0.634,0.175,0.0082599996,0.4713,0.38,1174.5108625038397,573.1327684117058,574.4689929486005
703,"c(-120.363141, 36.144346)",93210,1901.0,6,6019008000.0,60912000933,0.85117,1.00848,0.027720001,0.76274002,0.52240998,0.47617999,0.73229998,0.018,0.468,0.458,0.0054100002,0.2035,0.5666,988.9523982458277,498.07254465189925,497.0550235703586
704,"c(-117.4151, 34.058)",92316,7110.0,6,6071002601.0,60939000944,1.00695,0.85790998,0.017519999,0.73865002,0.75023001,0.71884,0.73253,0.067,0.26,0.587,0.00716,0.1772,0.8578,982.0980148994853,494.2356604489497,488.59203283518815
705,"c(-117.3348, 34.0701)",92324,7106.0,6,6071006601.0,60939000946,1.0463901,1.03107,0.02465,0.81737,0.73027998,0.70942003,0.83582997,0.059,0.41,0.392,0.00825,0.0372,0.8723,987.0471607138529,505.7948801926221,497.2261350097834
706,"c(-122.019514, 39.200208)",95932,1100.0,6,6011000200.0,60957000966,1.20372,1.21903,0.040169999,1.08051,0.91057998,0.92769003,1.0939,0.002,0.827,0.091,0.02359,0.2029,0.5331,1024.540132679171,505.70442200263375,525.94506136818
707,"c(-118.209699, 33.888184)",90221,3757.0,6,6037542402.0,60962000976,0.75046998,0.45624,0.01219,0.32324001,0.48083001,0.53417999,0.33289999,0.381,0.134,0.44,0.0086300001,0.0992,0.9848,852.4043677980663,415.8339019133293,426.3576208261246
708,"c(-118.182722, 33.893435)",90221,3757.0,6,6037542106.0,60962000978,0.75652999,0.51314002,0.021400001,0.35505,0.49511001,0.55309999,0.35863,0.381,0.134,0.44,0.0086300001,0.0508,0.9864,855.4725370320889,430.7198370663152,432.18531321252794
