iter	Passed	Remaining
409	4903	7056
410	4915	7044
411	4926	7031
412	4938	7019
413	4950	7007
414	4962	6996
415	4976	6985
416	4988	6974
417	5000	6962
418	5012	6951
419	5025	6939
420	5037	6928
421	5039	6903
422	5053	6892
423	5065	6881
424	5078	6870
425	5089	6857
426	5101	6845
427	5112	6833
428	5124	6821
429	5137	6810
430	5151	6800
431	5163	6789
432	5176	6777
433	5187	6765
434	5199	6752
435	5211	6740
436	5222	6728
437	5233	6715
438	5245	6703
439	5257	6691
440	5269	6679
441	5281	6666
442	5292	6654
443	5303	6641
444	5306	6618
445	5318	6605
446	5329	6593
447	5340	6579
448	5341	6554
449	5351	6541
450	5363	6528
451	5364	6503
452	5375	6491
453	5383	6474
454	5395	6463
455	5407	6451
456	5419	6439
457	5432	6429
458	5444	6417
459	5455	6404
460	5469	6395
461	5471	6372
462	5485	6362
463	5497	6350
464	5509	6338
465	5519	6325
466	5531	6313
467	5545	6303
468	5556	6290
469	5568	6279
470	5580	6267
471	5592	6256
472	5604	6244
473	5617	6233
474	5630	6223
475	5641	6210
476	5653	6198
477	5664	6185
478	5675	6173
479	5687	6161
480	5700	6150
481	5713	6140
482	5725	6128
483	5737	6117
484	5749	6105
485	5761	6093
486	5773	6081
487	5786	6071
488	5797	6058
489	5809	6047
490	5822	6035
491	5833	6022
492	5844	6010
493	5855	5998
494	5867	5986
495	5878	5973
496	5882	5953
497	5893	5940
498	5905	5928
499	5917	5917
500	5929	5905
501	5940	5893
502	5952	5881
503	5964	5869
504	5975	5856
505	5987	5845
506	5999	5833
507	6001	5812
508	6013	5800
509	6024	5788
510	6035	5776
511	6046	5763
512	6058	5751
513	6072	5741
514	6085	5730
515	6097	5719
516	6109	5707
517	6121	5696
518	6133	5684
519	6145	5673
520	6157	5661
521	6169	5649
522	6180	5636
523	6193	5625
524	6204	5613
525	6216	5601
526	6228	5590
527	6240	5578
528	6252	5566
529	6264	5555
530	6276	5543
531	6287	5530
532	6299	5519
533	6311	5507
534	6325	5497
535	6345	5493
536	6361	5484
537	6377	5476
538	6391	5466
539	6407	5458
540	6420	5447
541	6434	5437
542	6448	5427
543	6462	5416
544	6475	5406
545	6490	5396
546	6504	5386
547	6516	5375
548	6530	5364
549	6543	5353
550	6557	5343
551	6572	5333
552	6586	5323
553	6599	5312
554	6611	5301
555	6624	5289
556	6637	5279
557	6649	5267
558	6652	5247
559	6664	5236
560	6678	5225
561	6690	5214
562	6702	5202
563	6715	5191
564	6729	5180
565	6743	5170
566	6756	5159
567	6768	5148
568	6771	5129
569	6782	5116
570	6794	5104
571	6805	5092
572	6818	5081
573	6830	5069
574	6843	5057
575	6856	5047
576	6869	5036
577	6882	5024
578	6895	5014
579	6907	5002
580	6920	4990
581	6932	4978
582	6943	4966
583	6955	4954
584	6968	4943
585	6980	4931
586	6993	4920
587	7006	4909
588	7022	4900
589	7036	4890
590	7051	4879
591	7065	4869
592	7078	4858
593	7091	4846
594	7104	4835
595	7117	4824
596	7130	4813
597	7141	4800
598	7153	4788
599	7166	4777
600	7179	4766
601	7191	4754
602	7204	4742
603	7217	4731
604	7230	4720
605	7241	4708
606	7253	4696
607	7267	4685
608	7279	4673
609	7293	4663
610	7306	4651
611	7318	4640
612	7330	4628
613	7343	4616
614	7357	4606
615	7370	4594
616	7381	4582
617	7394	4570
618	7406	4558
619	7419	4547
620	7432	4536
621	7436	4519
622	7447	4507
623	7459	4494
624	7471	4482
625	7483	4471
626	7495	4458
627	7507	4447
628	7520	4435
629	7533	4424
630	7544	4412
631	7557	4400
632	7569	4388
633	7581	4376
634	7593	4364
635	7598	4348
636	7610	4336
637	7622	4325
638	7634	4313
639	7646	4301
640	7660	4290
641	7672	4278
642	7684	4266
643	7696	4254
644	7708	4242
645	7719	4230
646	7731	4218
647	7743	4206
648	7755	4194
649	7766	4182
650	7778	4170
651	7790	4157
652	7801	4145
653	7814	4134
654	7825	4121
655	7836	4109
656	7848	4097
657	7859	4085
658	7871	4073
659	7883	4061
660	7895	4049
661	7900	4033
662	7912	4022
663	7924	4009
664	7936	3998
665	7947	3985
666	7960	3974
667	7971	3961
668	7982	3949
669	7993	3937
670	8005	3925
671	8017	3913
672	8030	3901
673	8042	3890
674	8054	3878
675	8066	3866
676	8077	3853
677	8090	3842
678	8102	3830
679	8112	3817
680	8124	3805
681	8136	3793
682	8148	3781
683	8159	3769
684	8170	3757
685	8182	3745
686	8193	3733
687	8205	3721
688	8218	3709
689	8230	3697
690	8241	3685
691	8251	3672
692	8262	3660
693	8274	3648
694	8286	3636
695	8298	3624
696	8310	3612
697	8322	3600
698	8334	3588
699	8346	3576
700	8357	3564
701	8370	3553
702	8382	3541
703	8383	3524
704	8395	3513
705	8407	3501
706	8419	3489
707	8432	3477
708	8446	3466
709	8457	3454
710	8469	3442
711	8476	3428
712	8489	3417
713	8500	3404
714	8511	3392
715	8523	3380
716	8533	3368
717	8544	3355
718	8556	3343
719	8566	3331
720	8580	3320
721	8592	3308
722	8604	3296
723	8616	3284
724	8630	3273
725	8642	3261
726	8656	3250
727	8667	3238
728	8669	3222
729	8680	3210
730	8693	3199
731	8705	3187
732	8717	3175
733	8728	3163
734	8740	3151
735	8752	3139
736	8764	3127
737	8775	3115
738	8786	3103
739	8798	3091
740	8810	3079
741	8823	3068
742	8835	3056
743	8848	3044
744	8858	3032
745	8870	3020
746	8881	3007
747	8893	2996
748	8905	2984
749	8917	2972
750	8929	2960
751	8941	2948
752	8954	2937
753	8967	2925
754	8981	2914
755	8994	2903
756	9006	2891
757	9018	2879
758	9031	2867
759	9042	2855
760	9053	2843
761	9065	2831
762	9076	2819
763	9088	2807
764	9089	2792
765	9101	2780
766	9113	2768
767	9125	2756
768	9137	2744
769	9147	2732
770	9159	2720
771	9171	2708
772	9182	2696
773	9194	2684
774	9206	2672
775	9216	2660
776	9228	2648
777	9241	2636
778	9252	2624
779	9262	2612
780	9274	2600
781	9286	2588
782	9297	2576
783	9308	2564
784	9320	2552
785	9332	2540
786	9342	2528
787	9343	2513
788	9355	2501
789	9367	2490
790	9380	2478
791	9392	2466
792	9404	2454
793	9417	2443
794	9428	2431
795	9432	2417
796	9445	2405
797	9458	2394
798	9470	2382
799	9482	2370
800	9495	2358
801	9508	2347
802	9522	2336
803	9535	2324
804	9549	2313
805	9562	2301
806	9575	2290
807	9589	2278
808	9603	2267
809	9615	2255
810	9629	2244
811	9640	2232
812	9655	2220
813	9667	2209
814	9680	2197
815	9692	2185
816	9703	2173
817	9714	2161
818	9726	2149
819	9728	2135
820	9740	2123
821	9752	2111
822	9764	2100
823	9776	2088
824	9787	2076
825	9798	2064
826	9810	2052
827	9821	2040
828	9833	2028
829	9838	2015
830	9851	2003
831	9864	1991
832	9875	1979
833	9887	1968
834	9898	1955
835	9910	1944
836	9921	1932
837	9933	1920
838	9945	1908
839	9957	1896
840	9969	1884
841	9980	1872
842	9992	1860
843	10004	1849
844	10015	1837
845	10025	1825
846	10037	1813
847	10048	1801
848	10060	1789
849	10072	1777
850	10085	1765
851	10097	1753
852	10108	1742
853	10121	1730
854	10132	1718
855	10144	1706
856	10156	1694
857	10168	1682
858	10180	1671
859	10192	1659
860	10203	1647
861	10215	1635
862	10227	1623
863	10240	1611
864	10252	1600
865	10253	1586
866	10266	1574
867	10279	1563
868	10291	1551
869	10302	1539
870	10314	1527
871	10326	1515
872	10338	1503
873	10350	1492
874	10362	1480
875	10373	1468
876	10385	1456
877	10398	1444
878	10411	1433
879	10423	1421
880	10435	1409
881	10447	1397
882	10461	1386
883	10474	1374
884	10476	1361
885	10488	1349
886	10500	1337
887	10513	1325
888	10525	1314
889	10536	1302
890	10550	1290
891	10562	1278
892	10574	1267
893	10587	1255
894	10600	1243
895	10612	1231
896	10624	1220
897	10635	1208
898	10648	1196
899	10660	1184
900	10673	1172
901	10684	1160
902	10696	1149
903	10709	1137
904	10721	1125
905	10733	1113
906	10746	1101
907	10759	1090
908	10771	1078
909	10783	1066
910	10795	1054
911	10808	1042
912	10821	1031
913	10833	1019
914	10844	1007
915	10855	995
916	10867	983
917	10881	972
918	10893	960
919	10904	948
920	10915	936
921	10928	924
922	10942	912
923	10954	901
924	10965	889
925	10976	877
926	10987	865
927	11000	853
928	11012	841
929	11024	829
930	11036	817
931	11049	806
932	11060	794
933	11073	782
934	11080	770
935	11092	758
936	11104	746
937	11114	734
938	11127	722
939	11138	710
940	11150	699
941	11163	687
942	11175	675
943	11188	663
944	11201	651
945	11213	640
946	11226	628
947	11239	616
948	11251	604
949	11263	592
950	11275	580
951	11287	569
952	11300	557
953	11311	545
954	11312	533
955	11325	521
956	11337	509
957	11348	497
958	11359	485
959	11371	473
960	11382	461
961	11393	450
962	11406	438
963	11419	426
964	11431	414
965	11444	402
966	11455	390
967	11467	379
968	11478	367
969	11490	355
970	11502	343
971	11514	331
972	11526	319
973	11538	308
974	11550	296
975	11561	284
976	11573	272
977	11585	260
978	11597	248
979	11609	236
980	11620	225
981	11632	213
982	11644	201
983	11655	189
984	11668	177
985	11679	165
986	11690	153
987	11702	142
988	11714	130
989	11726	118
990	11737	106
991	11749	94
992	11760	82
993	11773	71
994	11784	59
995	11797	47
996	11807	35
997	11819	23
998	11830	11
999	11842	0
